,Age,HighestEducation,HeightFeet,HeightInches,WeightPounds,DivorceCount,LongestRelationshipYears,LongestRelationshipMonths,RelationshipNumber,ChildrenNumber,HouseholdIncome,RetirementAccount,RetirementPercentStocks,MortgageDebt,CarDebt,EducationDebt,CreditCardDebt,CoffeeCupsPerDay,TeaCupsPerDay,CaffienatedSodaCansPerDay,CaffieneOtherSourcesDayMG,TrafficTicketsLastYearCount,TrafficAccidentsLifeCount,ArrestedChargedLifeCount,country,crisis_currentlyworking,crisis_occupation,crisis_military,crisis_urbanicity,crisis_householdpeople,crisis_esssentialworkers,crisis_workersforcovid,crisis_householdrooms,crisis_healthinsurance,crisis_moneysupport,crisis_physicalhealth,crisis_mentalhealth,crisis_workershome,OtherDebtAmount
s107,38,3,5,2,225,0,8,0,6,1,6000,0.0,,,,,,0,1,0,0,0,2,4,USA,1,independent consultant,0,1,3,0,,4,5,1,2,2,,
s108,44,3,5,3,150,0,17,6,6,1,10000,0.0,1,1.0,1.0,3.0,1.0,5,0,1,0,0,4,6,USA,6,MTurk worker.,0,3,3,0,,5,5,0,2,3,,1.0
s109,36,4,5,8,185,0,2,0,1,0,40000,1.0,10,1.0,1.0,1.0,1.0,0,3,0,0,0,3,0,USA,1,"File maintenance, grocery store",0,1,1,1,0,4,2,0,4,4,3,
s111,31,3,5,4,280,0,15,7,1,0,72000,1.0,1,1.0,1.0,4.0,1.0,0,0,0,75,0,2,0,USA,8,Student,0,1,1,0,,4,2,0,2,4,,
s113,26,3,5,4,280,0,0,0,0,0,60000,0.0,,1.0,1.0,3.0,3.0,0,0,4,200,0,0,0,United States,1,Freelance,0,1,1,0,0,3,2,0,2,1,,
s114,40,4,5,3,170,1,10,0,5,0,21000,0.0,,5.0,1.0,1.0,3.0,0,1,0,0,0,1,1,United States,1,transcriptionist,0,1,0,0,,8,5,1,4,4,,2.0
s115,48,2,5,8,140,0,5,4,5,2,20000,0.0,1,1.0,1.0,1.0,1.0,0,1,0,50,0,0,0,USA,1,Waitress,0,2,0,0,,3,7,0,3,3,,1.0
s116,29,4,6,0,170,0,0,3,1,0,85000,0.0,,1.0,1.0,5.0,1.0,0,0,0,0,0,2,1,united states,4,none,0,4,4,1,0,12,7,0,5,4,3,
s117,51,4,5,9,162,0,29,8,4,2,190000,1.0,9,8.0,1.0,1.0,5.0,0,1,0,0,0,2,1,usa,1,software engineer,0,2,3,0,,11,2,0,4,4,,1.0
s118,49,4,6,0,185,2,8,0,5,0,75000,0.0,,1.0,1.0,3.0,1.0,0,0,0,0,0,2,1,USA,1,Freelance journalist,0,2,2,0,,10,7,0,3,4,,
s119,47,4,5,6,155,0,27,9,2,4,115000,1.0,4,6.0,3.0,1.0,1.0,0,0,5,0,0,2,0,United States,6,n/a,0,2,6,0,,10,2,0,3,4,,
s120,35,4,5,11,176,0,8,4,5,2,178000,1.0,3,8.0,1.0,1.0,2.0,1,0,0,0,0,1,0,USA,1,IT Manager,0,2,3,0,0,12,2,0,4,4,,1.0
s121,49,3,5,10,169,1,17,6,4,3,37500,0.0,,1.0,1.0,1.0,1.0,1,0,4,0,0,4,2,USA,1,Retail Cashier,0,3,2,1,0,7,2,0,4,5,3,
s123,38,4,5,11,205,0,2,0,3,0,81000,1.0,1,,1.0,1.0,3.0,0,1,0,0,0,0,0,United States,1,Real Estate Agent,0,5,1,0,,6,3,0,4,4,,
s124,41,3,5,2,179,0,7,2,4,3,39000,0.0,1,1.0,4.0,3.0,1.0,2,0,0,0,0,0,0,USA,5,clerical,0,1,4,1,0,6,5,0,3,3,3,1.0
s125,52,4,5,5,151,1,17,10,6,2,58900,1.0,5,4.0,4.0,4.0,1.0,6,0,0,0,1,0,0,USA,1,Human Resource Manager,0,2,1,0,,9,6,0,5,5,,1.0
s126,47,4,5,9,120,1,15,6,3,4,124000,1.0,10,8.0,4.0,5.0,3.0,2,0,4,0,0,5,0,USA,1,investigator,0,3,5,1,0,15,1,0,3,4,3,1.0
s127,38,2,5,10,210,0,2,6,4,0,39500,1.0,10,1.0,1.0,1.0,3.0,0,0,0,300,0,4,5,United States of America,1,Hospitality,0,2,0,0,,6,2,0,4,4,,
s128,30,3,8,3,158,0,3,2,4,1,74000,1.0,3,3.0,1.0,1.0,1.0,3,0,0,0,0,2,0,usa,1,customer service,0,3,1,1,0,5,2,1,4,3,3,2.0
s129,43,3,5,2,148,0,6,6,3,1,42000,0.0,,1.0,1.0,1.0,3.0,1,0,1,0,0,0,0,United States,1,Nanny,0,1,2,1,0,2,4,0,3,4,3,
s130,32,3,5,2,200,0,7,0,5,0,24000,1.0,1,1.0,2.0,1.0,1.0,1,0,6,396,0,1,2,United States of America,4,unemployed,0,1,1,1,0,6,5,1,2,1,3,
s131,39,4,5,7,143,1,10,2,6,0,50000,0.0,,1.0,1.0,5.0,2.0,0,0,5,0,0,1,1,United States,1,Policy Strategist,0,3,3,1,0,8,5,0,2,3,3,2.0
s134,52,3,6,4,195,0,16,3,4,0,52000,1.0,9,1.0,1.0,1.0,3.0,0,0,0,0,0,2,0,United States,1,Transaction Coordinator,0,2,2,0,,4,3,0,3,5,,
s136,28,2,6,5,250,0,0,0,0,0,25000,0.0,1,1.0,1.0,1.0,3.0,0,0,0,0,0,0,0,United States,7,Disabled,0,3,3,0,0,2,5,0,2,2,3,1.0
